ID,NOME,VALOR
297,NOME 297,297000.55
298,NOME 298,298000.55
299,NOME 299,299000.55
300,NOME 300,300000.55
301,NOME 301,301000.55
302,NOME 302,302000.55
303,NOME 303,303000.55
304,NOME 304,304000.55
305,NOME 305,305000.55
306,NOME 306,306000.55
307,NOME 307,307000.55
308,NOME 308,308000.55
309,NOME 309,309000.55
310,NOME 310,310000.55
311,NOME 311,311000.55
312,NOME 312,312000.55
313,NOME 313,313000.55
314,NOME 314,314000.55
315,NOME 315,315000.55
316,NOME 316,316000.55
317,NOME 317,317000.55
318,NOME 318,318000.55
319,NOME 319,319000.55
320,NOME 320,320000.55
321,NOME 321,321000.55
322,NOME 322,322000.55
323,NOME 323,323000.55
324,NOME 324,324000.55
325,NOME 325,325000.55
326,NOME 326,326000.55
327,NOME 327,327000.55
328,NOME 328,328000.55
329,NOME 329,329000.55
330,NOME 330,330000.55
331,NOME 331,331000.55
332,NOME 332,332000.55
333,NOME 333,333000.55
334,NOME 334,334000.55
335,NOME 335,335000.55
336,NOME 336,336000.55
337,NOME 337,337000.55
338,NOME 338,338000.55
339,NOME 339,339000.55
340,NOME 340,340000.55
341,NOME 341,341000.55
342,NOME 342,342000.55
343,NOME 343,343000.55
344,NOME 344,344000.55
345,NOME 345,345000.55
346,NOME 346,346000.55
347,NOME 347,347000.55
348,NOME 348,348000.55
349,NOME 349,349000.55
350,NOME 350,350000.55
351,NOME 351,351000.55
352,NOME 352,352000.55
353,NOME 353,353000.55
354,NOME 354,354000.55
355,NOME 355,355000.55
356,NOME 356,356000.55
357,NOME 357,357000.55
358,NOME 358,358000.55
359,NOME 359,359000.55
360,NOME 360,360000.55
361,NOME 361,361000.55
362,NOME 362,362000.55
363,NOME 363,363000.55
364,NOME 364,364000.55
365,NOME 365,365000.55
366,NOME 366,366000.55
367,NOME 367,367000.55
368,NOME 368,368000.55
369,NOME 369,369000.55
370,NOME 370,370000.55
371,NOME 371,371000.55
372,NOME 372,372000.55
373,NOME 373,373000.55
374,NOME 374,374000.55
375,NOME 375,375000.55
376,NOME 376,376000.55
377,NOME 377,377000.55
378,NOME 378,378000.55
379,NOME 379,379000.55
380,NOME 380,380000.55
381,NOME 381,381000.55
382,NOME 382,382000.55
383,NOME 383,383000.55
384,NOME 384,384000.55
385,NOME 385,385000.55
386,NOME 386,386000.55
387,NOME 387,387000.55
388,NOME 388,388000.55
389,NOME 389,389000.55
390,NOME 390,390000.55
391,NOME 391,391000.55
392,NOME 392,392000.55
393,NOME 393,393000.55
394,NOME 394,394000.55
395,NOME 395,395000.55
396,NOME 396,396000.55
397,NOME 397,397000.55
398,NOME 398,398000.55
399,NOME 399,399000.55
400,NOME 400,400000.55
401,NOME 401,401000.55
402,NOME 402,402000.55
403,NOME 403,403000.55
404,NOME 404,404000.55
405,NOME 405,405000.55
406,NOME 406,406000.55
407,NOME 407,407000.55
408,NOME 408,408000.55
409,NOME 409,409000.55
410,NOME 410,410000.55
411,NOME 411,411000.55
412,NOME 412,412000.55
413,NOME 413,413000.55
414,NOME 414,414000.55
415,NOME 415,415000.55
416,NOME 416,416000.55
417,NOME 417,417000.55
418,NOME 418,418000.55
419,NOME 419,419000.55
420,NOME 420,420000.55
421,NOME 421,421000.55
422,NOME 422,422000.55
423,NOME 423,423000.55
424,NOME 424,424000.55
425,NOME 425,425000.55
426,NOME 426,426000.55
427,NOME 427,427000.55
428,NOME 428,428000.55
429,NOME 429,429000.55
430,NOME 430,430000.55
431,NOME 431,431000.55
432,NOME 432,432000.55
433,NOME 433,433000.55
434,NOME 434,434000.55
435,NOME 435,435000.55
436,NOME 436,436000.55
437,NOME 437,437000.55
438,NOME 438,438000.55
439,NOME 439,439000.55
440,NOME 440,440000.55
441,NOME 441,441000.55
442,NOME 442,442000.55
443,NOME 443,443000.55
444,NOME 444,444000.55
445,NOME 445,445000.55
446,NOME 446,446000.55
447,NOME 447,447000.55
448,NOME 448,448000.55
449,NOME 449,449000.55
450,NOME 450,450000.55
451,NOME 451,451000.55
452,NOME 452,452000.55
453,NOME 453,453000.55
454,NOME 454,454000.55
455,NOME 455,455000.55
456,NOME 456,456000.55
457,NOME 457,457000.55
458,NOME 458,458000.55
459,NOME 459,459000.55
460,NOME 460,460000.55
461,NOME 461,461000.55
462,NOME 462,462000.55
463,NOME 463,463000.55
464,NOME 464,464000.55
465,NOME 465,465000.55
466,NOME 466,466000.55
467,NOME 467,467000.55
468,NOME 468,468000.55
469,NOME 469,469000.55
470,NOME 470,470000.55
471,NOME 471,471000.55
472,NOME 472,472000.55
473,NOME 473,473000.55
474,NOME 474,474000.55
475,NOME 475,475000.55
476,NOME 476,476000.55
477,NOME 477,477000.55
478,NOME 478,478000.55
479,NOME 479,479000.55
480,NOME 480,480000.55
481,NOME 481,481000.55
482,NOME 482,482000.55
483,NOME 483,483000.55
484,NOME 484,484000.55
485,NOME 485,485000.55
486,NOME 486,486000.55
487,NOME 487,487000.55
488,NOME 488,488000.55
489,NOME 489,489000.55
490,NOME 490,490000.55
491,NOME 491,491000.55
492,NOME 492,492000.55
493,NOME 493,493000.55
494,NOME 494,494000.55
495,NOME 495,495000.55
496,NOME 496,496000.55
497,NOME 497,497000.55
498,NOME 498,498000.55
499,NOME 499,499000.55
500,NOME 500,500000.55
501,NOME 501,501000.55
502,NOME 502,502000.55
503,NOME 503,503000.55
504,NOME 504,504000.55
505,NOME 505,505000.55
506,NOME 506,506000.55
507,NOME 507,507000.55
508,NOME 508,508000.55
509,NOME 509,509000.55
510,NOME 510,510000.55
511,NOME 511,511000.55
512,NOME 512,512000.55
513,NOME 513,513000.55
514,NOME 514,514000.55
515,NOME 515,515000.55
516,NOME 516,516000.55
517,NOME 517,517000.55
518,NOME 518,518000.55
519,NOME 519,519000.55
520,NOME 520,520000.55
521,NOME 521,521000.55
522,NOME 522,522000.55
523,NOME 523,523000.55
524,NOME 524,524000.55
525,NOME 525,525000.55
526,NOME 526,526000.55
527,NOME 527,527000.55
528,NOME 528,528000.55
529,NOME 529,529000.55
530,NOME 530,530000.55
531,NOME 531,531000.55
532,NOME 532,532000.55
533,NOME 533,533000.55
534,NOME 534,534000.55
535,NOME 535,535000.55
536,NOME 536,536000.55
537,NOME 537,537000.55
538,NOME 538,538000.55
539,NOME 539,539000.55
540,NOME 540,540000.55
541,NOME 541,541000.55
542,NOME 542,542000.55
543,NOME 543,543000.55
544,NOME 544,544000.55
545,NOME 545,545000.55
546,NOME 546,546000.55
547,NOME 547,547000.55
548,NOME 548,548000.55
549,NOME 549,549000.55
550,NOME 550,550000.55
551,NOME 551,551000.55
552,NOME 552,552000.55
553,NOME 553,553000.55
554,NOME 554,554000.55
555,NOME 555,555000.55
556,NOME 556,556000.55
557,NOME 557,557000.55
558,NOME 558,558000.55
559,NOME 559,559000.55
560,NOME 560,560000.55
561,NOME 561,561000.55
562,NOME 562,562000.55
563,NOME 563,563000.55
564,NOME 564,564000.55
565,NOME 565,565000.55
566,NOME 566,566000.55
567,NOME 567,567000.55
568,NOME 568,568000.55
569,NOME 569,569000.55
570,NOME 570,570000.55
571,NOME 571,571000.55
572,NOME 572,572000.55
573,NOME 573,573000.55
574,NOME 574,574000.55
575,NOME 575,575000.55
576,NOME 576,576000.55
577,NOME 577,577000.55
578,NOME 578,578000.55
579,NOME 579,579000.55
580,NOME 580,580000.55
581,NOME 581,581000.55
582,NOME 582,582000.55
583,NOME 583,583000.55
584,NOME 584,584000.55
585,NOME 585,585000.55
586,NOME 586,586000.55
587,NOME 587,587000.55
588,NOME 588,588000.55
589,NOME 589,589000.55
590,NOME 590,590000.55
591,NOME 591,591000.55
592,NOME 592,592000.55
593,NOME 593,593000.55
594,NOME 594,594000.55
595,NOME 595,595000.55
596,NOME 596,596000.55
597,NOME 597,597000.55
598,NOME 598,598000.55
599,NOME 599,599000.55
600,NOME 600,600000.55
601,NOME 601,601000.55
602,NOME 602,602000.55
603,NOME 603,603000.55
604,NOME 604,604000.55
605,NOME 605,605000.55
606,NOME 606,606000.55
607,NOME 607,607000.55
608,NOME 608,608000.55
609,NOME 609,609000.55
610,NOME 610,610000.55
611,NOME 611,611000.55
612,NOME 612,612000.55
613,NOME 613,613000.55
614,NOME 614,614000.55
615,NOME 615,615000.55
616,NOME 616,616000.55
617,NOME 617,617000.55
618,NOME 618,618000.55
619,NOME 619,619000.55
620,NOME 620,620000.55
621,NOME 621,621000.55
622,NOME 622,622000.55
623,NOME 623,623000.55
624,NOME 624,624000.55
625,NOME 625,625000.55
626,NOME 626,626000.55
627,NOME 627,627000.55
628,NOME 628,628000.55
629,NOME 629,629000.55
630,NOME 630,630000.55
631,NOME 631,631000.55
632,NOME 632,632000.55
633,NOME 633,633000.55
634,NOME 634,634000.55
635,NOME 635,635000.55
636,NOME 636,636000.55
637,NOME 637,637000.55
638,NOME 638,638000.55
639,NOME 639,639000.55
640,NOME 640,640000.55
641,NOME 641,641000.55
642,NOME 642,642000.55
643,NOME 643,643000.55
644,NOME 644,644000.55
645,NOME 645,645000.55
646,NOME 646,646000.55
647,NOME 647,647000.55
648,NOME 648,648000.55
649,NOME 649,649000.55
650,NOME 650,650000.55
651,NOME 651,651000.55
652,NOME 652,652000.55
653,NOME 653,653000.55
654,NOME 654,654000.55
655,NOME 655,655000.55
656,NOME 656,656000.55
657,NOME 657,657000.55
658,NOME 658,658000.55
659,NOME 659,659000.55
660,NOME 660,660000.55
661,NOME 661,661000.55
662,NOME 662,662000.55
663,NOME 663,663000.55
664,NOME 664,664000.55
665,NOME 665,665000.55
666,NOME 666,666000.55
667,NOME 667,667000.55
668,NOME 668,668000.55
669,NOME 669,669000.55
670,NOME 670,670000.55
671,NOME 671,671000.55
672,NOME 672,672000.55
673,NOME 673,673000.55
674,NOME 674,674000.55
675,NOME 675,675000.55
676,NOME 676,676000.55
677,NOME 677,677000.55
678,NOME 678,678000.55
679,NOME 679,679000.55
680,NOME 680,680000.55
681,NOME 681,681000.55
682,NOME 682,682000.55
683,NOME 683,683000.55
684,NOME 684,684000.55
685,NOME 685,685000.55
686,NOME 686,686000.55
687,NOME 687,687000.55
688,NOME 688,688000.55
689,NOME 689,689000.55
690,NOME 690,690000.55
691,NOME 691,691000.55
692,NOME 692,692000.55
693,NOME 693,693000.55
694,NOME 694,694000.55
695,NOME 695,695000.55
696,NOME 696,696000.55
697,NOME 697,697000.55
698,NOME 698,698000.55
699,NOME 699,699000.55
700,NOME 700,700000.55
701,NOME 701,701000.55
702,NOME 702,702000.55
703,NOME 703,703000.55
704,NOME 704,704000.55
705,NOME 705,705000.55
706,NOME 706,706000.55
707,NOME 707,707000.55
708,NOME 708,708000.55
709,NOME 709,709000.55
710,NOME 710,710000.55
711,NOME 711,711000.55
712,NOME 712,712000.55
713,NOME 713,713000.55
714,NOME 714,714000.55
715,NOME 715,715000.55
716,NOME 716,716000.55
717,NOME 717,717000.55
718,NOME 718,718000.55
719,NOME 719,719000.55
720,NOME 720,720000.55
721,NOME 721,721000.55
722,NOME 722,722000.55
723,NOME 723,723000.55
724,NOME 724,724000.55
725,NOME 725,725000.55
726,NOME 726,726000.55
727,NOME 727,727000.55
728,NOME 728,728000.55
729,NOME 729,729000.55
730,NOME 730,730000.55
731,NOME 731,731000.55
732,NOME 732,732000.55
733,NOME 733,733000.55
734,NOME 734,734000.55
735,NOME 735,735000.55
736,NOME 736,736000.55
737,NOME 737,737000.55
738,NOME 738,738000.55
739,NOME 739,739000.55
740,NOME 740,740000.55
741,NOME 741,741000.55
742,NOME 742,742000.55
743,NOME 743,743000.55
744,NOME 744,744000.55
745,NOME 745,745000.55
746,NOME 746,746000.55
747,NOME 747,747000.55
748,NOME 748,748000.55
749,NOME 749,749000.55
750,NOME 750,750000.55
751,NOME 751,751000.55
752,NOME 752,752000.55
753,NOME 753,753000.55
754,NOME 754,754000.55
755,NOME 755,755000.55
756,NOME 756,756000.55
757,NOME 757,757000.55
758,NOME 758,758000.55
759,NOME 759,759000.55
760,NOME 760,760000.55
761,NOME 761,761000.55
762,NOME 762,762000.55
763,NOME 763,763000.55
764,NOME 764,764000.55
765,NOME 765,765000.55
766,NOME 766,766000.55
767,NOME 767,767000.55
768,NOME 768,768000.55
769,NOME 769,769000.55
770,NOME 770,770000.55
771,NOME 771,771000.55
772,NOME 772,772000.55
773,NOME 773,773000.55
774,NOME 774,774000.55
775,NOME 775,775000.55
776,NOME 776,776000.55
777,NOME 777,777000.55
778,NOME 778,778000.55
779,NOME 779,779000.55
780,NOME 780,780000.55
781,NOME 781,781000.55
782,NOME 782,782000.55
783,NOME 783,783000.55
784,NOME 784,784000.55
785,NOME 785,785000.55
786,NOME 786,786000.55
787,NOME 787,787000.55
788,NOME 788,788000.55
789,NOME 789,789000.55
790,NOME 790,790000.55
791,NOME 791,791000.55
792,NOME 792,792000.55
793,NOME 793,793000.55
794,NOME 794,794000.55
795,NOME 795,795000.55
796,NOME 796,796000.55
797,NOME 797,797000.55
798,NOME 798,798000.55
799,NOME 799,799000.55
800,NOME 800,800000.55
801,NOME 801,801000.55
802,NOME 802,802000.55
803,NOME 803,803000.55
804,NOME 804,804000.55
805,NOME 805,805000.55
806,NOME 806,806000.55
807,NOME 807,807000.55
808,NOME 808,808000.55
809,NOME 809,809000.55
810,NOME 810,810000.55
811,NOME 811,811000.55
812,NOME 812,812000.55
813,NOME 813,813000.55
814,NOME 814,814000.55
815,NOME 815,815000.55
816,NOME 816,816000.55
817,NOME 817,817000.55
818,NOME 818,818000.55
819,NOME 819,819000.55
820,NOME 820,820000.55
821,NOME 821,821000.55
822,NOME 822,822000.55
823,NOME 823,823000.55
824,NOME 824,824000.55
825,NOME 825,825000.55
826,NOME 826,826000.55
827,NOME 827,827000.55
828,NOME 828,828000.55
829,NOME 829,829000.55
830,NOME 830,830000.55
831,NOME 831,831000.55
832,NOME 832,832000.55
833,NOME 833,833000.55
834,NOME 834,834000.55
835,NOME 835,835000.55
836,NOME 836,836000.55
837,NOME 837,837000.55
838,NOME 838,838000.55
839,NOME 839,839000.55
840,NOME 840,840000.55
841,NOME 841,841000.55
842,NOME 842,842000.55
843,NOME 843,843000.55
844,NOME 844,844000.55
845,NOME 845,845000.55
846,NOME 846,846000.55
847,NOME 847,847000.55
848,NOME 848,848000.55
849,NOME 849,849000.55
850,NOME 850,850000.55
851,NOME 851,851000.55
852,NOME 852,852000.55
853,NOME 853,853000.55
854,NOME 854,854000.55
855,NOME 855,855000.55
856,NOME 856,856000.55
857,NOME 857,857000.55
858,NOME 858,858000.55
859,NOME 859,859000.55
860,NOME 860,860000.55
861,NOME 861,861000.55
862,NOME 862,862000.55
863,NOME 863,863000.55
864,NOME 864,864000.55
865,NOME 865,865000.55
866,NOME 866,866000.55
867,NOME 867,867000.55
868,NOME 868,868000.55
869,NOME 869,869000.55
870,NOME 870,870000.55
871,NOME 871,871000.55
872,NOME 872,872000.55
873,NOME 873,873000.55
874,NOME 874,874000.55
875,NOME 875,875000.55
876,NOME 876,876000.55
877,NOME 877,877000.55
878,NOME 878,878000.55
879,NOME 879,879000.55
880,NOME 880,880000.55
881,NOME 881,881000.55
882,NOME 882,882000.55
883,NOME 883,883000.55
884,NOME 884,884000.55
885,NOME 885,885000.55
886,NOME 886,886000.55
887,NOME 887,887000.55
888,NOME 888,888000.55
889,NOME 889,889000.55
890,NOME 890,890000.55
891,NOME 891,891000.55
892,NOME 892,892000.55
893,NOME 893,893000.55
894,NOME 894,894000.55
895,NOME 895,895000.55
896,NOME 896,896000.55
897,NOME 897,897000.55
898,NOME 898,898000.55
899,NOME 899,899000.55
900,NOME 900,900000.55
901,NOME 901,901000.55
902,NOME 902,902000.55
903,NOME 903,903000.55
904,NOME 904,904000.55
905,NOME 905,905000.55
906,NOME 906,906000.55
907,NOME 907,907000.55
908,NOME 908,908000.55
909,NOME 909,909000.55
910,NOME 910,910000.55
911,NOME 911,911000.55
912,NOME 912,912000.55
913,NOME 913,913000.55
914,NOME 914,914000.55
915,NOME 915,915000.55
916,NOME 916,916000.55
917,NOME 917,917000.55
918,NOME 918,918000.55
919,NOME 919,919000.55
920,NOME 920,920000.55
921,NOME 921,921000.55
922,NOME 922,922000.55
923,NOME 923,923000.55
924,NOME 924,924000.55
925,NOME 925,925000.55
926,NOME 926,926000.55
927,NOME 927,927000.55
928,NOME 928,928000.55
929,NOME 929,929000.55
930,NOME 930,930000.55
931,NOME 931,931000.55
932,NOME 932,932000.55
933,NOME 933,933000.55
934,NOME 934,934000.55
935,NOME 935,935000.55
936,NOME 936,936000.55
937,NOME 937,937000.55
938,NOME 938,938000.55
939,NOME 939,939000.55
940,NOME 940,940000.55
941,NOME 941,941000.55
942,NOME 942,942000.55
943,NOME 943,943000.55
944,NOME 944,944000.55
945,NOME 945,945000.55
946,NOME 946,946000.55
947,NOME 947,947000.55
948,NOME 948,948000.55
949,NOME 949,949000.55
950,NOME 950,950000.55
951,NOME 951,951000.55
952,NOME 952,952000.55
953,NOME 953,953000.55
954,NOME 954,954000.55
955,NOME 955,955000.55
956,NOME 956,956000.55
957,NOME 957,957000.55
958,NOME 958,958000.55
959,NOME 959,959000.55
960,NOME 960,960000.55
961,NOME 961,961000.55
962,NOME 962,962000.55
963,NOME 963,963000.55
964,NOME 964,964000.55
965,NOME 965,965000.55
966,NOME 966,966000.55
967,NOME 967,967000.55
968,NOME 968,968000.55
969,NOME 969,969000.55
970,NOME 970,970000.55
971,NOME 971,971000.55
972,NOME 972,972000.55
973,NOME 973,973000.55
974,NOME 974,974000.55
975,NOME 975,975000.55
976,NOME 976,976000.55
977,NOME 977,977000.55
978,NOME 978,978000.55
979,NOME 979,979000.55
980,NOME 980,980000.55
981,NOME 981,981000.55
982,NOME 982,982000.55
983,NOME 983,983000.55
984,NOME 984,984000.55
985,NOME 985,985000.55
986,NOME 986,986000.55
987,NOME 987,987000.55
988,NOME 988,988000.55
989,NOME 989,989000.55
990,NOME 990,990000.55
991,NOME 991,991000.55
992,NOME 992,992000.55
993,NOME 993,993000.55
994,NOME 994,994000.55
995,NOME 995,995000.55
996,NOME 996,996000.55
997,NOME 997,997000.55
998,NOME 998,998000.55
999,NOME 999,999000.55
1000,NOME 1000,1000000.55
1001,NOME 1001,1001000.55
1002,NOME 1002,1002000.55
1003,NOME 1003,1003000.55
1004,NOME 1004,1004000.55
1005,NOME 1005,1005000.55
1006,NOME 1006,1006000.55
1007,NOME 1007,1007000.55
1008,NOME 1008,1008000.55
1009,NOME 1009,1009000.55
1010,NOME 1010,1010000.55
1011,NOME 1011,1011000.55
1012,NOME 1012,1012000.55
1013,NOME 1013,1013000.55
1014,NOME 1014,1014000.55
1015,NOME 1015,1015000.55
1016,NOME 1016,1016000.55
1017,NOME 1017,1017000.55
1018,NOME 1018,1018000.55
1019,NOME 1019,1019000.55
1020,NOME 1020,1020000.55
1021,NOME 1021,1021000.55
1022,NOME 1022,1022000.55
1023,NOME 1023,1023000.55
1024,NOME 1024,1024000.55
1025,NOME 1025,1025000.55
1026,NOME 1026,1026000.55
1027,NOME 1027,1027000.55
1028,NOME 1028,1028000.55
1029,NOME 1029,1029000.55
1030,NOME 1030,1030000.55
1031,NOME 1031,1031000.55
1032,NOME 1032,1032000.55
1033,NOME 1033,1033000.55
1034,NOME 1034,1034000.55
1035,NOME 1035,1035000.55
1036,NOME 1036,1036000.55
1037,NOME 1037,1037000.55
1038,NOME 1038,1038000.55
1039,NOME 1039,1039000.55
1040,NOME 1040,1040000.55
1041,NOME 1041,1041000.55
1042,NOME 1042,1042000.55
1043,NOME 1043,1043000.55
1044,NOME 1044,1044000.55
1045,NOME 1045,1045000.55
1046,NOME 1046,1046000.55
1047,NOME 1047,1047000.55
1048,NOME 1048,1048000.55
1049,NOME 1049,1049000.55
1050,NOME 1050,1050000.55
1051,NOME 1051,1051000.55
1052,NOME 1052,1052000.55
1053,NOME 1053,1053000.55
1054,NOME 1054,1054000.55
1055,NOME 1055,1055000.55
1056,NOME 1056,1056000.55
1057,NOME 1057,1057000.55
1058,NOME 1058,1058000.55
1059,NOME 1059,1059000.55
1060,NOME 1060,1060000.55
